Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-6,83047368665868E-18","0,025","1,94478764689587E-18",0,0,0,"2,375","0,000989583333333334","-8,58326719884358E-21","2,14581679971091E-21","0,000989583333333334",0,"0,000989583333333334",0,0,0,0,0,0,package://rod/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://rod/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
scara_basejoint,"8,88178419700125E-16",0,"0,180234931906412",0,0,0,"50,5064528015554","0,507467643046138","1,24672661923992E-18","-7,66356004006932E-18","0,507467643046138","7,42216945274078E-18","0,164615591191858",0,0,0,0,0,0,package://rod/meshes/scara_basejoint.STL,1,1,1,1,0,0,0,0,0,0,package://rod/meshes/scara_basejoint.STL,,SCARAMitDH-1/BasisMitDH-1;SCARAMitDH-1/ErstesGlied-1,Origin_sj0,,sj0,fixed,"6,4623","-1,1337","0,88",0,0,0,base_link,0,0,0,,,,,,,,,,,,
scara_j1,"0,120817727289338","9,30999931370025E-07","0,05137702387886",0,0,0,"49,5926714803606","0,222900609838825","1,33392967924855E-16","0,0739678064109206","0,736885929341892","2,45391377787028E-17","0,865091612076402",0,0,0,0,0,0,package://rod/meshes/scara_j1.STL,1,1,1,1,0,0,0,0,0,0,package://rod/meshes/scara_j1.STL,,SCARAMitDH-1/ZweitesGliedMitDH-1,Origin_sj1,,sj1,revolute,0,0,"0,375",0,0,0,scara_basejoint,0,0,1,10,"9,2","-2,7","2,7",,,10,"0,1",,,,
scara_j2,"-0,112811619112002","2,03690355693453E-08","-0,0848826662381605",0,0,0,"32,5846948095504","0,16446281982603","-2,66721834505766E-07","0,00501596079266007","0,377276755482316","1,55740957962355E-07","0,328743826647256",0,0,0,0,0,0,package://rod/meshes/scara_j2.STL,1,1,1,1,0,0,0,0,0,0,package://rod/meshes/scara_j2.STL,,SCARAMitDH-1/DrittesGliedMitDH-1,Origin_sj2,,sj2,revolute,"0,325",0,"0,06","3,1416",0,"3,1416",scara_j1,0,0,1,10,"7,9","-2,7","2,7",,,10,"0,1",,,,
scara_j3,0,"2,22044604925031E-16","-0,185",0,0,0,"0,460306155603976","0,00526283371240547","3,24877251208374E-37","-1,64330554039326E-19","0,00526283371240547","3,7161231317094E-34","2,30153077801988E-05",0,0,0,0,0,0,package://rod/meshes/scara_j3.STL,1,1,1,1,0,0,0,0,0,0,package://rod/meshes/scara_j3.STL,,SCARAMitDH-1/ViertesGliedMitDH-1,Origin_sj3,,sj3,prismatic,"-0,225",0,"0,06926",0,0,0,scara_j2,0,0,1,10,2,0,"0,32",,,10,"0,1",,,,
scara_jEE,"0,00127508094275353","0,00991837529988793","0,0115960504326884",0,0,0,"0,00734707672394366","1,56955034877568E-06",0,"-1,65346314681135E-22","1,56955034877568E-06","2,96350100271735E-23","2,4656723492173E-06",0,0,0,0,0,0,package://rod/meshes/scara_jEE.STL,1,1,1,1,0,0,0,0,0,0,package://rod/meshes/scara_jEE.STL,,SCARAMitDH-1/EEMitDH-1,Origin_sEE,,sEE,revolute,0,0,"0,021981",0,0,"-3,0137",scara_j3,0,0,1,10,"41,9","-6,2","6,2",,,10,"0,1",,,,
sixaxis_joint,"0,159749157671926","0,158","0,147343077754866",0,0,0,"59,294110549961","0,831304150101565","5,21752188071823E-17","0,0140370732527636","0,843648805366523","-5,15146620011431E-17","0,683446197561202",0,0,0,0,0,0,package://rod/meshes/sixaxis_joint.STL,1,1,1,1,0,0,0,0,0,0,package://rod/meshes/sixaxis_joint.STL,,6_axis_robot-1/Roboter_Sockel-2,Origin_saj0,,saj0,fixed,"1,9713","-1,7268","0,3",0,0,0,base_link,0,0,0,,,,,,,,,,,,
sixaxis_j1,"-0,00259211067215492","0,00270619738140598","0,131756347788593",0,0,0,"56,4833957451794","1,08439391526667","0,00787710874493965","0,0888414783459384","0,976543348530307","-0,0302507568899708","0,861678896529092",0,0,0,0,0,0,package://rod/meshes/sixaxis_j1.STL,1,1,1,1,0,0,0,0,0,0,package://rod/meshes/sixaxis_j1.STL,,6_axis_robot-1/Robot_2Teil-1,Origin_saj1,,saj1,revolute,"0,168","0,158","0,317",0,0,"3,1416",sixaxis_joint,0,0,1,10,8,"-4,3","4,3",,,10,"0,1",,,,
sixaxis_j2,"-4,31760227570521E-09","0,258404064748791","-0,000356717994700828",0,0,0,"52,2168237503069","1,07933618868477","2,58723091051309E-08","-1,34009681600937E-07","0,541524461985699","0,0353877081559204","0,714833922196119",0,0,0,0,0,0,package://rod/meshes/sixaxis_j2.STL,1,1,1,1,0,0,0,0,0,0,package://rod/meshes/sixaxis_j2.STL,,6_axis_robot-1/Roboter_3Teil-1,Origin_saj2,,saj2,revolute,"-0,054129","-0,002","0,32966","1,5708",0,0,sixaxis_j1,0,0,1,10,"6,6",-2,2,,,10,"0,1",,,,
sixaxis_j3,"0,00477403400076337","0,035439954944116","-0,0156641341829327",0,0,0,"33,221439562987","0,341529061136126","0,00128174838595925","-0,00153661400028046","0,303384628575149","-0,0297967616518859","0,257324332747641",0,0,0,0,0,0,package://rod/meshes/sixaxis_j3.STL,1,1,1,1,0,0,0,0,0,0,package://rod/meshes/sixaxis_j3.STL,,6_axis_robot-1/Robot_4Teil-1,Origin_saj3,,saj3,revolute,0,"0,556",0,"3,1416",0,"3,1416",sixaxis_j2,0,0,1,10,"4,9","-3,6",1,,,10,"0,1",,,,
